gene_name	uniprot	is_complex	protein_name	complex_name	id_cp_interaction	B_cell	CAF	Endo	Macro	NK	T_cell	malignant_cell
EFNA3	P52797	False	EFNA3_HUMAN		CPI-SS07BECB892	0.011	0.012	0.0	0.018	0.0	0.008	0.045
EFNA3	P52797	False	EFNA3_HUMAN		CPI-SS0AB0604B5	0.011	0.012	0.0	0.018	0.0	0.008	0.045
EFNA3	P52797	False	EFNA3_HUMAN		CPI-SS0DF162C10	0.011	0.012	0.0	0.018	0.0	0.008	0.045
EFNA4	P52798	False	EFNA4_HUMAN		CPI-SS05E6D620E	0.081	0.13	0.078	0.126	0.037	0.039	0.164
EFNA4	P52798	False	EFNA4_HUMAN		CPI-SS09F973C1A	0.081	0.13	0.078	0.126	0.037	0.039	0.164
EFNA4	P52798	False	EFNA4_HUMAN		CPI-SS041888D39	0.081	0.13	0.078	0.126	0.037	0.039	0.164
EFNA4	P52798	False	EFNA4_HUMAN		CPI-SS02B285B4D	0.081	0.13	0.078	0.126	0.037	0.039	0.164
NTRK1	P04629	False	NTRK1_HUMAN		CPI-SS04C396C5D	0.002	0.047	0.008	0.0	0.009	0.028	0.001
NTRK1	P04629	False	NTRK1_HUMAN		CPI-SS052127A00	0.002	0.047	0.008	0.0	0.009	0.028	0.001
NGFR	P08138	False	TNR16_HUMAN		CPI-SS0EDD4928A	0.007	0.283	0.003	0.016	0.0	0.009	0.099
NGFR	P08138	False	TNR16_HUMAN		CPI-SS08B85996F	0.007	0.283	0.003	0.016	0.0	0.009	0.099
DDR1	Q08345	False	DDR1_HUMAN		CPI-SS00D3CD86E	0.086	0.155	0.15	0.05	0.014	0.013	0.554
AGER	Q15109	False	RAGE_HUMAN		CPI-SS06006F870	0.043	0.034	0.04	0.087	0.051	0.072	0.028
PSAP	P07602	False	SAP_HUMAN		CPI-SS0AB647854	0.993	1.708	1.684	2.219	1.282	0.952	1.753
PSAP	P07602	False	SAP_HUMAN		CPI-SS082900482	0.993	1.708	1.684	2.219	1.282	0.952	1.753
IL16	Q14005	False	IL16_HUMAN		CPI-SS0A915097A	0.971	0.145	0.06	0.423	0.752	0.809	0.234
IL16	Q14005	False	IL16_HUMAN		CPI-SS070B0E458	0.971	0.145	0.06	0.423	0.752	0.809	0.234
IL16	Q14005	False	IL16_HUMAN		CPI-SS0D529E576	0.971	0.145	0.06	0.423	0.752	0.809	0.234
SIRPA	P78324	False	SHPS1_HUMAN		CPI-SS068C129D6	0.043	0.344	0.63	0.863	0.065	0.014	0.618
CELSR3	Q9NYQ7	False	CELR3_HUMAN		CPI-SS086615F9B	0.022	0.001	0.062	0.018	0.022	0.036	0.048
SCGB3A1	Q96QR1	False	SG3A1_HUMAN		CPI-SS04861AD1A	0.003	0.0	0.029	0.0	0.0	0.014	0.0
CD209	Q9NNX6	False	CD209_HUMAN		CPI-SS055B305F1	0.376	0.145	0.325	0.551	0.343	0.361	0.137
CD209	Q9NNX6	False	CD209_HUMAN		CPI-SS0A2949959	0.376	0.145	0.325	0.551	0.343	0.361	0.137
CEACAM6	P40199	False	CEAM6_HUMAN		CPI-SS0A2D7895C	0.009	0.003	0.0	0.007	0.007	0.006	0.003
CEACAM6	P40199	False	CEAM6_HUMAN		CPI-SS0322747C2	0.009	0.003	0.0	0.007	0.007	0.006	0.003
CEACAM6	P40199	False	CEAM6_HUMAN		CPI-SS08C411721	0.009	0.003	0.0	0.007	0.007	0.006	0.003
CEACAM8	P31997	False	CEAM8_HUMAN		CPI-SS0CCDBBBC0	0.469	0.142	0.209	0.224	0.31	0.37	0.126
GHRL	Q9UBU3	False	GHRL_HUMAN		CPI-SS0D449DE26	0.024	0.054	0.103	0.073	0.081	0.034	0.009
GHRL	Q9UBU3	False	GHRL_HUMAN		CPI-SS042EB8C7A	0.024	0.054	0.103	0.073	0.081	0.034	0.009
GHRL	Q9UBU3	False	GHRL_HUMAN		CPI-SS043E0F61D	0.024	0.054	0.103	0.073	0.081	0.034	0.009
GHRL	Q9UBU3	False	GHRL_HUMAN		CPI-SS05D406038	0.024	0.054	0.103	0.073	0.081	0.034	0.009
GHRL	Q9UBU3	False	GHRL_HUMAN		CPI-SS090987D9C	0.024	0.054	0.103	0.073	0.081	0.034	0.009
GHRL	Q9UBU3	False	GHRL_HUMAN		CPI-SS07D40A3F3	0.024	0.054	0.103	0.073	0.081	0.034	0.009
GHRL	Q9UBU3	False	GHRL_HUMAN		CPI-SS085C150CE	0.024	0.054	0.103	0.073	0.081	0.034	0.009
LEAP2	Q969E1	False	LEAP2_HUMAN		CPI-SS0EB3C2743	0.049	0.032	0.033	0.054	0.035	0.042	0.061
TNFRSF25	Q93038	False	TNR25_HUMAN		CPI-SS079DDF890	0.002	0.085	0.214	0.017	0.108	0.341	0.022
TNFRSF25	Q93038	False	TNR25_HUMAN		CPI-SS0B0CF0EDF	0.002	0.085	0.214	0.017	0.108	0.341	0.022
TNFRSF12A	Q9NP84	False	TNR12_HUMAN		CPI-SS02EF3E1BA	0.0	0.85	0.074	0.209	0.022	0.031	0.676
TNFRSF6B	O95407	False	TNF6B_HUMAN		CPI-SS029C6E8FA	0.021	0.376	0.306	0.052	0.035	0.028	0.105
TNFRSF6B	O95407	False	TNF6B_HUMAN		CPI-SS0B9DC75DD	0.021	0.376	0.306	0.052	0.035	0.028	0.105
GNRHR	P30968	False	GNRHR_HUMAN		CPI-SS0D9BC4188	0.009	0.036	0.016	0.002	0.024	0.012	0.012
GNRHR	P30968	False	GNRHR_HUMAN		CPI-SS0D9EFC4F7	0.009	0.036	0.016	0.002	0.024	0.012	0.012
GPRC5B	Q9NZH0	False	GPC5B_HUMAN		CPI-SS08A819670	0.006	0.402	0.895	0.029	0.0	0.018	0.497
HCRTR1	O43613	False	OX1R_HUMAN		CPI-SS084816B12	0.001	0.0	0.02	0.0	0.0	0.002	0.0
HCRTR2	O43614	False	OX2R_HUMAN		CPI-SS02461AE98	0.0	0.0	0.0	0.0	0.025	0.004	0.001
FLT1	P17948	False	VGFR1_HUMAN		CPI-SS0B9B3870A	0.391	0.162	0.563	0.296	0.347	0.364	0.141
EPHB2	P29323	False	EPHB2_HUMAN		CPI-SS02371A6D6	0.004	0.132	0.114	0.139	0.0	0.008	0.017
GRIN2B	Q13224	False	NMDE2_HUMAN		CPI-SS0C694CB44	0.004	0.052	0.0	0.015	0.0	0.007	0.039
WNT5A	P41221	False	WNT5A_HUMAN		CPI-SS082AD7B6A	0.015	0.134	0.214	0.086	0.0	0.005	0.018
SEMA7A	O75326	False	SEM7A_HUMAN		CPI-SS02B567BC7	0.131	0.25	0.103	0.053	0.059	0.088	0.279
WNT3	P56703	False	WNT3_HUMAN		CPI-SS070C51D94	0.015	0.024	0.023	0.0	0.0	0.003	0.009
FAM3B	P58499	False	FAM3B_HUMAN		CPI-SS0A4EE6FE1	0.006	0.0	0.022	0.0	0.0	0.003	0.078
RSPO4	Q2I0M5	False	RSPO4_HUMAN		CPI-SS05E001125	0.0	0.007	0.0	0.004	0.0	0.001	0.002
RSPO1	Q2MKA7	False	RSPO1_HUMAN		CPI-SS0F102AAC5	0.004	0.055	0.0	0.003	0.0	0.005	0.003
RSPO2	Q6UXX9	False	RSPO2_HUMAN		CPI-SS0FC0CA5ED	0.006	0.0	0.0	0.022	0.0	0.007	0.002
RSPO3	Q9BXY4	False	RSPO3_HUMAN		CPI-SS0DCA749B0	0.002	0.091	0.152	0.017	0.0	0.006	0.002
RSPO3	Q9BXY4	False	RSPO3_HUMAN		CPI-SS0A874F65F	0.002	0.091	0.152	0.017	0.0	0.006	0.002
CKLF	Q9UBR5	False	CKLF_HUMAN		CPI-SS05B1FA8A8	0.361	0.41	0.349	0.735	0.711	0.659	0.657
NTRK3	Q16288	False	NTRK3_HUMAN		CPI-SS05162C56B	0.006	0.045	0.0	0.006	0.0	0.016	0.003
CLEC4M	Q9H2X3	False	CLC4M_HUMAN		CPI-SS0829B8FD2	0.012	0.0	0.405	0.0	0.0	0.006	0.002
CLEC4M	Q9H2X3	False	CLC4M_HUMAN		CPI-SS00F979E99	0.012	0.0	0.405	0.0	0.0	0.006	0.002
P2RY6	Q15077	False	P2RY6_HUMAN		CPI-SS065F7DA2A	0.025	0.039	0.245	0.455	0.071	0.023	0.014
P2RY6	Q15077	False	P2RY6_HUMAN		CPI-SS09A3FA737	0.025	0.039	0.245	0.455	0.071	0.023	0.014
PROKR1	Q8TCW9	False	PKR1_HUMAN		CPI-SS04FB6F38D	0.0	0.0	0.0	0.0	0.0	0.004	0.001
GALR1	P47211	False	GALR1_HUMAN		CPI-SS0BE567EFB	0.006	0.0	0.0	0.0	0.0	0.003	0.002
UTS2R	Q9UKP6	False	UR2R_HUMAN		CPI-SS033C67295	0.0	0.0	0.0	0.0	0.0	0.0	0.0
GCG	P01275	False	GLUC_HUMAN		CPI-SS00EC753E6	0.001	0.0	0.0	0.0	0.0	0.003	0.0
C3AR1	Q16581	False	C3AR_HUMAN		CPI-SS03E48EFEA	0.006	0.017	0.0	1.401	0.141	0.046	0.017
ENTPD1	P49961	False	ENTP1_HUMAN		CPI-SS03E273233	1.072	0.537	0.852	0.844	0.776	1.008	0.493
ENTPD1	P49961	False	ENTP1_HUMAN		CPI-SS0FF6CFDCA	1.072	0.537	0.852	0.844	0.776	1.008	0.493
ENTPD1	P49961	False	ENTP1_HUMAN		CPI-SS079728E8B	1.072	0.537	0.852	0.844	0.776	1.008	0.493
ENTPD1	P49961	False	ENTP1_HUMAN		CPI-SS03E7587E4	1.072	0.537	0.852	0.844	0.776	1.008	0.493
AGTR1	P30556	False	AGTR1_HUMAN		CPI-SS05996C8FD	0.005	0.04	0.0	0.009	0.0	0.001	0.002
AGTR2	P50052	False	AGTR2_HUMAN		CPI-SS069924427	0.004	0.0	0.0	0.0	0.0	0.002	0.001
C5AR1	P21730	False	C5AR1_HUMAN		CPI-SS00581282E	0.131	0.087	0.129	1.085	0.118	0.123	0.047
C5AR2	Q9P296	False	C5AR2_HUMAN		CPI-SS0A7E3A1AF	0.034	0.055	0.021	0.053	0.072	0.038	0.013
BDKRB1	P46663	False	BKRB1_HUMAN		CPI-SS075D9B9AD	0.0	0.243	0.0	0.002	0.0	0.004	0.015
MRGPRX1	Q96LB2	False	MRGX1_HUMAN		CPI-SS06AC5AF53	0.001	0.0	0.0	0.0	0.0	0.007	0.003
LHCGR	P22888	False	LSHR_HUMAN		CPI-SS033180726	0.005	0.0	0.0	0.0	0.0	0.002	0.005
LHCGR	P22888	False	LSHR_HUMAN		CPI-SS0DEF5D0CE	0.005	0.0	0.0	0.0	0.0	0.002	0.005
FSHR	P23945	False	FSHR_HUMAN		CPI-SS0577408A3	0.004	0.0	0.0	0.0	0.0	0.007	0.003
FSHR	P23945	False	FSHR_HUMAN		CPI-SS035A3ADDF	0.004	0.0	0.0	0.0	0.0	0.007	0.003
TSHR	P16473	False	TSHR_HUMAN		CPI-SS0C7833961	0.009	0.083	0.0	0.0	0.0	0.053	0.034
PRLR	P16471	False	PRLR_HUMAN		CPI-SS00689751B	0.019	0.028	0.008	0.129	0.027	0.022	0.052
PRLR	P16471	False	PRLR_HUMAN		CPI-SS0A606E2DA	0.019	0.028	0.008	0.129	0.027	0.022	0.052
GHR	P10912	False	GHR_HUMAN		CPI-SS0ACD3CCEE	0.235	0.155	0.135	0.107	0.219	0.186	0.067
GHR	P10912	False	GHR_HUMAN		CPI-SS0DB45E7DF	0.235	0.155	0.135	0.107	0.219	0.186	0.067
ASGR1	P07306	False	ASGR1_HUMAN		CPI-SS01963C4CA	0.001	0.0	0.263	0.345	0.0	0.003	0.003
PTH2R	P49190	False	PTH2R_HUMAN		CPI-SS0D87F8BD7	0.006	0.037	0.0	0.0	0.0	0.007	0.006
PTH2R	P49190	False	PTH2R_HUMAN		CPI-SS012B216F6	0.006	0.037	0.0	0.0	0.0	0.007	0.006
PTH1R	Q03431	False	PTH1R_HUMAN		CPI-SS0F32DB87D	0.006	0.013	0.0	0.0	0.0	0.003	0.002
PTH1R	Q03431	False	PTH1R_HUMAN		CPI-SS0483CE4ED	0.006	0.013	0.0	0.0	0.0	0.003	0.002
PRLHR	P49683	False	PRLHR_HUMAN		CPI-SS058E608D0	0.0	0.0	0.0	0.0	0.0	0.001	0.001
ADRB2	P07550	False	ADRB2_HUMAN		CPI-SS0C6448B94	0.151	0.085	0.14	0.196	0.602	0.092	0.027
CEACAM5	P06731	False	CEAM5_HUMAN		CPI-SS0C1F25516	0.329	0.133	0.186	0.181	0.399	0.33	0.118
FPR1	P21462	False	FPR1_HUMAN		CPI-SS0F739D3DB	0.011	0.0	0.0	1.01	0.006	0.014	0.009
FPR3	P25089	False	FPR3_HUMAN		CPI-SS06CCF5A54	0.01	0.006	0.02	0.879	0.0	0.011	0.006
FPR2	P25090	False	FPR2_HUMAN		CPI-SS030BB46BB	0.01	0.0	0.01	0.482	0.004	0.008	0.004
FPR2	P25090	False	FPR2_HUMAN		CPI-SS0F66EA6BE	0.01	0.0	0.01	0.482	0.004	0.008	0.004
FPR2	P25090	False	FPR2_HUMAN		CPI-SS05F45873A	0.01	0.0	0.01	0.482	0.004	0.008	0.004
RXFP2	Q8WXD0	False	RXFP2_HUMAN		CPI-SS018FB4D9F	0.001	0.0	0.0	0.013	0.0	0.004	0.001
RXFP2	Q8WXD0	False	RXFP2_HUMAN		CPI-SS0D3A5646A	0.001	0.0	0.0	0.013	0.0	0.004	0.001
RXFP2	Q8WXD0	False	RXFP2_HUMAN		CPI-SS06CF55F94	0.001	0.0	0.0	0.013	0.0	0.004	0.001
RXFP1	Q9HBX9	False	RXFP1_HUMAN		CPI-SS045EC4F7D	0.006	0.004	0.019	0.006	0.0	0.003	0.001
RXFP1	Q9HBX9	False	RXFP1_HUMAN		CPI-SS0FAE75A75	0.006	0.004	0.019	0.006	0.0	0.003	0.001
RXFP1	Q9HBX9	False	RXFP1_HUMAN		CPI-SS08805BBC2	0.006	0.004	0.019	0.006	0.0	0.003	0.001
RXFP1	Q9HBX9	False	RXFP1_HUMAN		CPI-SS031E35270	0.006	0.004	0.019	0.006	0.0	0.003	0.001
RXFP3	Q9NSD7	False	RL3R1_HUMAN		CPI-SS0F8DE3306	0.0	0.0	0.0	0.003	0.0	0.001	0.006
RXFP3	Q9NSD7	False	RL3R1_HUMAN		CPI-SS02EF37382	0.0	0.0	0.0	0.003	0.0	0.001	0.006
CSF1R	P07333	False	CSF1R_HUMAN		CPI-SS092E57263	0.015	0.02	0.0	1.584	0.0	0.015	0.008
IL13RA2	Q14627	False	I13R2_HUMAN		CPI-SS01AD399A0	0.0	0.067	0.023	0.0	0.0	0.003	0.065
IL13RA2	Q14627	False	I13R2_HUMAN		CPI-SS066FBE098	0.0	0.067	0.023	0.0	0.0	0.003	0.065
IL13RA2	Q14627	False	I13R2_HUMAN		CPI-SS0186F8AED	0.0	0.067	0.023	0.0	0.0	0.003	0.065
IL13RA2	Q14627	False	I13R2_HUMAN		CPI-SS0BCCDFA7A	0.0	0.067	0.023	0.0	0.0	0.003	0.065
TMEM219	Q86XT9	False	TM219_HUMAN		CPI-SS0073098F3	0.41	0.778	0.885	0.996	0.417	0.43	1.157
TNFRSF9	Q07011	False	TNR9_HUMAN		CPI-SS0431D2256	0.665	0.3	0.401	0.337	0.655	0.95	0.225
HRH1	P35367	False	HRH1_HUMAN		CPI-SS0DC2A6D35	0.106	0.262	0.227	0.11	0.053	0.111	0.06
CD58	P19256	False	LFA3_HUMAN		CPI-SS00B1BEE64	0.191	0.29	0.497	0.763	0.59	0.441	0.965
CEACAM1	P13688	False	CEAM1_HUMAN		CPI-SS0B537DD3F	0.074	0.016	0.47	0.05	0.007	0.064	0.548
CD1D	P15813	False	CD1D_HUMAN		CPI-SS0AC66088D	0.305	0.054	0.06	0.456	0.072	0.081	0.022
CRHR2	Q13324	False	CRFR2_HUMAN		CPI-SS0A05319F5	0.004	0.0	0.001	0.0	0.0	0.003	0.002
CRHR2	Q13324	False	CRFR2_HUMAN		CPI-SS0E654708F	0.004	0.0	0.001	0.0	0.0	0.003	0.002
AXL	P30530	False	UFO_HUMAN		CPI-SS0C85BC9AF	0.686	1.291	0.436	1.082	0.663	0.745	0.393
TYRO3	Q06418	False	TYRO3_HUMAN		CPI-SS09C4988F8	0.018	0.178	0.022	0.032	0.0	0.024	0.335
CSF1	P09603	False	CSF1_HUMAN		CPI-SS0B01CF3AB	0.011	0.613	0.433	0.08	0.068	0.256	0.103
CSF3	P09919	False	CSF3_HUMAN		CPI-SS05BE83BC6	0.002	0.0	0.0	0.0	0.0	0.004	0.001
IL34	Q6ZMJ4	False	IL34_HUMAN		CPI-SS0DFA98A14	0.029	0.143	0.262	0.018	0.011	0.017	0.029
GRPR	P30550	False	GRPR_HUMAN		CPI-SS07AF9303D	0.01	0.022	0.0	0.0	0.03	0.005	0.013
CD22	P20273	False	CD22_HUMAN		CPI-SS0CBC7840D	1.284	0.056	0.0	0.078	0.0	0.019	0.037
MRC1	P22897	False	MRC1_HUMAN		CPI-SS0822AEF5F	0.006	0.0	0.63	0.688	0.0	0.017	0.003
HGF	P14210	False	HGF_HUMAN		CPI-SS07F60834D	0.011	0.279	0.0	0.309	0.0	0.011	0.002
CD244	Q9BZW8	False	CD244_HUMAN		CPI-SS056FF4363	0.082	0.0	0.016	0.182	0.666	0.151	0.006
PDGFD	Q9GZP0	False	PDGFD_HUMAN		CPI-SS0D954EA1C	0.045	0.31	0.394	0.0	0.178	0.074	0.052
ALOX5AP	P20292	False	AL5AP_HUMAN		CPI-SS080611C5B	0.624	0.024	0.032	1.024	1.256	0.682	0.024
CSF3R	Q99062	False	CSF3R_HUMAN		CPI-SS08376F0E6	0.005	0.0	0.0	0.978	0.017	0.009	0.038
KITLG	P21583	False	SCF_HUMAN		CPI-SS02D7A1DDE	0.004	0.349	0.093	0.0	0.0	0.002	0.047
KITLG	P21583	False	SCF_HUMAN		CPI-SS0EDAE16B6	0.004	0.349	0.093	0.0	0.0	0.002	0.047
CD80	P33681	False	CD80_HUMAN		CPI-SS07327E587	0.079	0.0	0.0	0.145	0.029	0.067	0.004
CD80	P33681	False	CD80_HUMAN		CPI-SS0320FFAFC	0.079	0.0	0.0	0.145	0.029	0.067	0.004
CD86	P42081	False	CD86_HUMAN		CPI-SS077D7365D	0.192	0.0	0.002	1.003	0.024	0.036	0.008
CD86	P42081	False	CD86_HUMAN		CPI-SS0B0E09B1C	0.192	0.0	0.002	1.003	0.024	0.036	0.008
KLRC1	P26715	False	NKG2A_HUMAN		CPI-SS03EF699C7	0.009	0.0	0.0	0.0	1.199	0.131	0.003
KLRC2	P26717	False	NKG2C_HUMAN		CPI-SS0C4FA643F	0.006	0.018	0.0	0.005	0.692	0.244	0.096
KLRK1	P26718	False	NKG2D_HUMAN		CPI-SS03339363E	0.076	0.036	0.014	0.014	1.966	1.06	0.033
CD34	P28906	False	CD34_HUMAN		CPI-SS0EB5AEC83	0.011	0.385	1.147	0.002	0.0	0.007	0.009
CD34	P28906	False	CD34_HUMAN		CPI-SS015E1E2C6	0.011	0.385	1.147	0.002	0.0	0.007	0.009
SELPLG	Q14242	False	SELPL_HUMAN		CPI-SS087321EB5	0.116	0.065	0.06	0.808	1.316	0.953	0.039
SELPLG	Q14242	False	SELPL_HUMAN		CPI-SS02B7540B0	0.116	0.065	0.06	0.808	1.316	0.953	0.039
SELPLG	Q14242	False	SELPL_HUMAN		CPI-SS086A1C18B	0.116	0.065	0.06	0.808	1.316	0.953	0.039
CD24	P25063	False	CD24_HUMAN		CPI-SS06ABF2F5A	1.14	0.49	0.515	0.334	0.635	0.571	0.191
GLG1	Q92896	False	GSLG1_HUMAN		CPI-SS04F90EE0D	0.804	1.183	1.034	0.684	0.98	0.923	0.843
PILRA	Q9UKJ1	False	PILRA_HUMAN		CPI-SS01560CA22	0.064	0.019	0.052	1.418	0.158	0.053	0.022
NPPB	P16860	False	ANFB_HUMAN		CPI-SS08E6EA18C	0.0	0.0	0.0	0.0	0.0	0.0	0.0
NPPC	P23582	False	ANFC_HUMAN		CPI-SS0A1864A37	0.0	0.0	0.023	0.0	0.0	0.001	0.011
NPPC	P23582	False	ANFC_HUMAN		CPI-SS0EB4002A2	0.0	0.0	0.023	0.0	0.0	0.001	0.011
NPPC	P23582	False	ANFC_HUMAN		CPI-SS06B94F144	0.0	0.0	0.023	0.0	0.0	0.001	0.011
OSTN	P61366	False	OSTN_HUMAN		CPI-SS05F0AFA81	0.0	0.0	0.0	0.0	0.0	0.001	0.0
SIGLEC1	Q9BZZ2	False	SN_HUMAN		CPI-SS02A170A99	0.003	0.0	0.009	0.698	0.005	0.008	0.002
PDGFC	Q9NRA1	False	PDGFC_HUMAN		CPI-SS03CC15FF3	0.004	0.194	0.303	0.21	0.0	0.006	0.028
PDGFC	Q9NRA1	False	PDGFC_HUMAN		CPI-SS03A3EE72E	0.004	0.194	0.303	0.21	0.0	0.006	0.028
VEGFC	P49767	False	VEGFC_HUMAN		CPI-SS0F972435E	0.004	0.222	0.177	0.0	0.026	0.001	0.001
VEGFC	P49767	False	VEGFC_HUMAN		CPI-SS0273C9AED	0.004	0.222	0.177	0.0	0.026	0.001	0.001
CD38	P28907	False	CD38_HUMAN		CPI-SS0E0DEA7D5	0.22	0.098	0.093	0.586	0.575	0.453	0.032
CD177	Q8N6Q3	False	CD177_HUMAN		CPI-SS081AD39D7	0.004	0.052	0.0	0.002	0.0	0.02	0.001
CSHL1	Q14406	False	CSHL_HUMAN		CPI-SS02C0BCFFE	0.0	0.0	0.0	0.0	0.0	0.003	0.001
MCHR2	Q969V1	False	MCHR2_HUMAN		CPI-SS029B74C35	0.03	0.072	0.0	0.024	0.009	0.037	0.01
MCHR1	Q99705	False	MCHR1_HUMAN		CPI-SS0362EFFDE	0.002	0.025	0.022	0.0	0.0	0.008	0.112
TRHR	P34981	False	TRFR_HUMAN		CPI-SS00F69C501	0.003	0.0	0.0	0.0	0.0	0.006	0.001
EDNRA	P25101	False	EDNRA_HUMAN		CPI-SS056AA08CF	0.003	0.271	0.0	0.011	0.0	0.006	0.004
RPS19	P39019	False	RS19_HUMAN		CPI-SS01946BE5C	2.198	1.771	1.763	1.913	1.995	2.134	1.686
TNFRSF4	P43489	False	TNR4_HUMAN		CPI-SS04456F441	0.0	0.0	0.552	0.033	0.232	0.196	0.055
CXCL5	P42830	False	CXCL5_HUMAN		CPI-SS05E63FBEC	0.001	0.0	0.021	0.073	0.0	0.006	0.003
CXCL5	P42830	False	CXCL5_HUMAN		CPI-SS087BD262F	0.001	0.0	0.021	0.073	0.0	0.006	0.003
YARS	P54577	False	SYYC_HUMAN		CPI-SS0C7012011	0.202	0.467	0.346	0.314	0.641	0.461	0.612
CXCL6	P80162	False	CXCL6_HUMAN		CPI-SS0288E42FB	0.0	0.047	0.0	0.013	0.0	0.001	0.001
CXCL6	P80162	False	CXCL6_HUMAN		CPI-SS0C7915758	0.0	0.047	0.0	0.013	0.0	0.001	0.001
HEBP1	Q9NRV9	False	HEBP1_HUMAN		CPI-SS0D2539AEB	0.047	0.741	0.664	0.472	0.192	0.061	0.664
CAMP	P49913	False	CAMP_HUMAN		CPI-SS0C321CE6D	0.033	0.025	0.0	0.0	0.0	0.001	0.121
GUCA2A	Q02747	False	GUC2A_HUMAN		CPI-SS09A3A441F	0.0	0.0	0.0	0.0	0.0	0.001	0.001
GUCA2B	Q16661	False	GUC2B_HUMAN		CPI-SS0231B999D	0.0	0.0	0.0	0.0	0.0	0.002	0.0
MST1R	Q04912	False	RON_HUMAN		CPI-SS03EACE0E0	0.003	0.035	0.0	0.0	0.0	0.012	0.052
INHBC	P55103	False	INHBC_HUMAN		CPI-SS0D53B88CC	0.007	0.0	0.0	0.0	0.0	0.002	0.004
INHBE	P58166	False	INHBE_HUMAN		CPI-SS099C401F7	0.131	0.056	0.086	0.058	0.105	0.123	0.043
HTR4	Q13639	False	5HT4R_HUMAN		CPI-SS00E3F772A	0.017	0.0	0.0	0.0	0.0	0.006	0.002
TNFSF8	P32971	False	TNFL8_HUMAN		CPI-SS0412C803A	0.2	0.066	0.0	0.216	0.105	0.534	0.01
ALCAM	Q13740	False	CD166_HUMAN		CPI-SS08991B378	0.263	0.388	0.043	0.54	0.019	0.087	0.29
IL15RA	Q13261	False	I15RA_HUMAN		CPI-SS0D0252D87	0.078	0.447	0.529	0.37	0.051	0.076	0.032
IL15RA	Q13261	False	I15RA_HUMAN		CPI-SS077B160B9	0.078	0.447	0.529	0.37	0.051	0.076	0.032
GAS6	Q14393	False	GAS6_HUMAN		CPI-SS03A4F7DC8	0.043	0.523	0.783	0.364	0.0	0.021	0.045
GAS6	Q14393	False	GAS6_HUMAN		CPI-SS085195142	0.043	0.523	0.783	0.364	0.0	0.021	0.045
GAS6	Q14393	False	GAS6_HUMAN		CPI-SS0415CC75D	0.043	0.523	0.783	0.364	0.0	0.021	0.045
SST	P61278	False	SMS_HUMAN		CPI-SS00C069DCB	0.003	0.0	0.0	0.0	0.0	0.003	0.004
SST	P61278	False	SMS_HUMAN		CPI-SS024E1CF41	0.003	0.0	0.0	0.0	0.0	0.003	0.004
ADM	P35318	False	ADML_HUMAN		CPI-SS0B27088B4	0.024	0.763	0.475	0.585	0.0	0.012	0.439
ADM2	Q7Z4H4	False	ADM2_HUMAN		CPI-SS032CFAE42	0.275	0.147	0.227	0.135	0.305	0.252	0.108
NTS	P30990	False	NEUT_HUMAN		CPI-SS083319328	0.011	0.0	0.84	0.0	0.0	0.004	0.005
SIGLEC10	Q96LC7	False	SIG10_HUMAN		CPI-SS073C1B796	1.082	0.378	0.58	0.955	0.878	0.848	0.359
PLAUR	Q03405	False	UPAR_HUMAN		CPI-SS0E5593D5C	0.05	0.683	0.181	1.309	0.064	0.052	0.297
WNT3A	P56704	False	WNT3A_HUMAN		CPI-SS0A91954A0	0.003	0.0	0.0	0.006	0.0	0.0	0.001
APLN	Q9ULZ1	False	APEL_HUMAN		CPI-SS0D8148841	0.0	0.022	0.0	0.0	0.0	0.001	0.003
SLURP1	P55000	False	SLUR1_HUMAN		CPI-SS08833E2DA	0.0	0.0	0.0	0.0	0.0	0.002	0.0
FLT3LG	P49771	False	FLT3L_HUMAN		CPI-SS076FEB261	0.072	0.231	0.064	0.131	0.448	0.365	0.051
LTB	Q06643	False	TNFC_HUMAN		CPI-SS06CBC985C	1.414	0.069	0.212	0.129	0.205	0.709	0.022
MPL	P40238	False	TPOR_HUMAN		CPI-SS0DC2DD9D7	0.533	0.216	0.404	0.35	0.455	0.558	0.243
LEPR	P48357	False	LEPR_HUMAN		CPI-SS066FE05CA	0.41	0.402	0.663	0.324	0.411	0.455	0.233
RARRES2	Q99969	False	RARR2_HUMAN		CPI-SS04CD88411	0.007	1.228	0.569	0.019	0.024	0.01	0.028
RARRES2	Q99969	False	RARR2_HUMAN		CPI-SS07D56EB05	0.007	1.228	0.569	0.019	0.024	0.01	0.028
XCL1	P47992	False	XCL1_HUMAN		CPI-SS0B6643F31	0.006	0.01	0.0	0.01	0.88	0.223	0.013
XCL2	Q9UBD3	False	XCL2_HUMAN		CPI-SS052D34F0B	0.008	0.011	0.0	0.0	0.762	0.277	0.014
NPW	Q8N729	False	NPW_HUMAN		CPI-SS0BDA7A63E	0.0	0.014	0.0	0.0	0.0	0.002	0.014
NPW	Q8N729	False	NPW_HUMAN		CPI-SS0B7A7E932	0.0	0.014	0.0	0.0	0.0	0.002	0.014
NPB	Q8NG41	False	NPB_HUMAN		CPI-SS0D5E1C3D2	0.0	0.106	0.0	0.0	0.0	0.001	0.011
NPB	Q8NG41	False	NPB_HUMAN		CPI-SS01A761DB5	0.0	0.106	0.0	0.0	0.0	0.001	0.011
